              value  count     ratio
              요통,오심     68  0.005439
      기타통증,오심/구토,고열     67  0.005359
            두통,심계항진     67  0.005359
         복통,기타통증,구토     67  0.005359
              설사,오심     67  0.005359
         복통,토혈,어지러움     67  0.005359
       기타통증,경추통증,기타     67  0.005359
              복통,기침     66  0.005279
         복통,실신,어지러움     66  0.005279
        복통,기타통증,찰과상     66  0.005279
          정신장애,어지러움     66  0.005279
         토혈,어지러움,오심     66  0.005279
              흉통,요통     65  0.005199
           두통,고열,설사     65  0.005199
        열상,찰과상,어지러움     65  0.005199
       두통,의식장애,어지러움     65  0.005199
          정신장애,호흡곤란     65  0.005199
              열상,구토     65  0.005199
      의식장애,고열,경련/발작     65  0.005199
          호흡곤란,기도이물     64  0.005119
         두통,흉통,어지러움     64  0.005119
             탈구,타박상     64  0.005119
        의식장애,열상,찰과상     64  0.005119
      기타통증,타박상,어지러움     64  0.005119
         복통,호흡곤란,설사     64  0.005119
       기타통증,어지러움,구토     64  0.005119
           복통,기타,기침     64  0.005119
         호흡곤란,오심,구토     64  0.005119
           요통,오심/구토     63  0.005039
       토혈,전신쇠약,어지러움     63  0.005039
         고열,설사,어지러움     63  0.005039
       비출혈,심정지,호흡정지     63  0.005039
       기타통증,의식장애,기타     63  0.005039
         고열,기침,어지러움     63  0.005039
      기타통증,찰과상,전신쇠약     62  0.004959
      실신,오심/구토,어지러움     62  0.004959
            기타통증,변비     62  0.004959
            복통,의식장애     62  0.004959
       의식장애,기타,어지러움     62  0.004959
         두통,전신쇠약,구토     62  0.004959
      두통,어지러움,가슴불편감     62  0.004959
           오심/구토,열상     61  0.004879
           두통,흉통,복통     61  0.004879
       흉통,전신쇠약,어지러움     61  0.004879
     그 밖의출혈,기타,어지러움     61  0.004879
       두통,호흡곤란,전신쇠약     61  0.004879
         호흡곤란,기타,구토     61  0.004879
        의식장애,찰과상,기타     60  0.004799
             흉통,타박상     60  0.004799
        배뇨장애,그 밖의출혈     60  0.004799
              기침,구토     60  0.004799
    심계항진,호흡곤란,가슴불편감     60  0.004799
           두통,실신,오심     59  0.004719
       호흡곤란,고열,어지러움     59  0.004719
       요통,기타통증,호흡곤란     58  0.004639
       기타통증,열상,어지러움     58  0.004639
       흉통,심계항진,어지러움     58  0.004639
         두통,설사,어지러움     58  0.004639
       복통,호흡곤란,어지러움     58  0.004639
              두통,경련     57  0.004559
           비출혈,전신쇠약     57  0.004559
    의식장애,비출혈,그 밖의출혈     57  0.004559
            두통,정신장애     57  0.004559
     의식장애,전신쇠약,어지러움     57  0.004559
           기타,설사,오심     57  0.004559
         기타통증,염좌,열상     56  0.004479
       배뇨장애,고열,전신쇠약     56  0.004479
              요통,실신     56  0.004479
         두통,복통,호흡곤란     56  0.004479
           가슴불편감,오심     56  0.004479
          호흡곤란,배뇨장애     56  0.004479
           실신,열상,기타     55  0.004399
             복통,찰과상     55  0.004399
           두통,흉통,기타     55  0.004399
      기타통증,전신쇠약,타박상     55  0.004399
     의식장애,그 밖의출혈,기타     55  0.004399
          요통,열상,찰과상     55  0.004399
            호흡곤란,설사     55  0.004399
         호흡곤란,기타,오심     55  0.004399
    심계항진,어지러움,가슴불편감     55  0.004399
              경련,기타     54  0.004319
      두통,그 밖의출혈,찰과상     54  0.004319
       의식장애,찰과상,타박상     54  0.004319
            요통,배뇨장애     54  0.004319
              객혈,기타     54  0.004319
        두통,경련/발작,오심     54  0.004319
           흉통,오심,구토     54  0.004319
            기타통증,경련     53  0.004239
        두통,찰과상,어지러움     53  0.004239
       찰과상,전신쇠약,타박상     53  0.004239
